,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
*Error*,3.496e-01,3.493e-01,3.443e-01,3.254e-01,3.306e-01,3.293e-01,3.463e-01,3.187e-01,3.285e-01,3.225e-01,3.440e-01,3.461e-01,3.392e-01,3.372e-01,3.411e-01,3.380e-01,3.322e-01,3.495e-01,3.319e-01,3.493e-01,3.404e-01,3.489e-01,3.404e-01,3.232e-01,3.382e-01,3.306e-01,3.429e-01,3.461e-01,3.494e-01,3.423e-01,3.484e-01,3.363e-01,3.296e-01,3.307e-01,3.497e-01,3.493e-01,3.459e-01,3.459e-01,3.424e-01,3.222e-01,3.478e-01,3.445e-01,3.283e-01,3.486e-01,3.383e-01,3.273e-01,3.499e-01,3.434e-01,3.439e-01,3.258e-01
V1,2.891e-01,2.176e-01,1.081e-01,2.138e-01,8.183e-02,2.449e-01,3.580e-01,2.033e-01,1.552e-01,1.927e-01,2.209e-01,2.256e-01,2.393e-01,3.439e-01,7.236e-02,1.443e-01,1.924e-01,3.032e-01,2.561e-01,3.515e-01,1.244e-01,2.632e-01,1.404e-01,3.317e-01,1.516e-01,1.555e-01,5.021e-01,6.445e-01,4.491e-01,2.236e-01,1.631e-01,2.211e-01,1.803e-01,3.928e-01,2.532e-01,2.635e-01,1.215e-01,1.850e-01,1.072e-01,3.158e-01,1.147e-01,4.998e-01,2.633e-01,3.439e-01,1.996e-01,2.134e-01,3.186e-01,2.198e-01,1.630e-01,3.033e-01
Km1,1.032e+03,5.242e+02,4.623e+02,2.205e+03,7.311e+02,5.640e+02,1.239e+03,3.103e+02,1.753e+03,3.984e+02,1.050e+03,1.657e+03,5.519e+02,1.161e+03,2.576e+02,3.846e+02,6.730e+02,6.550e+02,4.930e+02,1.175e+03,6.148e+02,6.442e+02,2.489e+02,2.196e+03,1.082e+03,4.043e+02,2.159e+03,1.735e+03,1.246e+03,1.007e+03,5.762e+02,6.079e+02,2.971e+02,2.404e+03,6.914e+02,7.294e+02,1.631e+02,3.313e+02,3.640e+02,1.559e+03,1.024e+03,9.035e+02,8.192e+02,1.520e+03,3.254e+02,7.057e+02,9.844e+02,7.060e+02,4.064e+02,4.627e+02
V5,2.183e+01,1.291e+01,2.030e+01,1.364e+01,1.767e+01,1.893e+01,2.738e+01,2.333e+01,1.724e+01,2.373e+01,1.446e+01,2.352e+01,2.377e+01,1.943e+01,1.705e+01,2.898e+01,4.358e+01,1.513e+01,3.342e+01,2.887e+01,2.699e+01,2.089e+01,2.064e+01,2.734e+01,2.418e+01,2.798e+01,2.936e+01,3.344e+01,2.163e+01,3.611e+01,3.995e+01,2.417e+01,2.665e+01,4.501e+01,2.530e+01,4.230e+01,3.121e+01,1.910e+01,1.960e+01,1.576e+01,2.991e+01,1.232e+01,1.489e+01,1.974e+01,1.649e+01,2.295e+01,1.645e+01,2.008e+01,2.787e+01,3.010e+01
Km5,4.732e+01,2.628e+01,9.162e+00,1.583e+01,1.702e+01,8.933e+00,5.460e+01,4.045e+01,2.192e+01,4.318e+01,1.222e+01,1.080e+02,2.321e+01,7.602e+00,4.797e+01,3.811e+01,1.914e+02,5.579e+01,1.299e+01,4.084e+01,2.034e+01,4.153e+01,3.609e+01,3.533e+01,2.249e+01,5.555e+01,9.839e+01,5.657e+01,4.737e+01,9.730e+01,8.369e+01,1.668e+01,3.569e+01,1.906e+02,6.449e+01,1.876e+01,3.872e+01,4.075e+01,1.243e+01,9.799e+01,1.332e+02,2.202e+01,7.150e+01,2.023e+01,4.517e+01,1.355e+01,6.387e+01,1.333e+01,2.562e+01,1.020e+01
V10,1.902e+01,1.131e+01,3.608e+01,2.005e+01,6.402e+01,1.418e+02,1.812e+01,1.719e+01,5.204e+01,2.987e+01,5.014e+01,9.141e+00,3.232e+01,5.719e+01,2.170e+01,2.972e+01,1.406e+01,3.259e+01,2.735e+01,2.258e+01,3.806e+01,2.547e+01,9.485e+01,5.022e+01,8.000e+00,2.816e+01,3.573e+00,2.553e+01,3.453e+01,5.236e+01,3.427e+01,6.834e+00,3.994e+01,1.724e+01,6.870e+01,5.932e+01,2.732e+01,3.765e+01,3.130e+01,7.142e+01,2.449e+01,3.421e+01,2.181e+01,2.553e+01,6.452e+01,3.141e+01,1.662e+01,3.261e+01,1.744e+01,7.116e+00
Km10,1.970e+02,2.681e+02,9.882e+01,1.734e+02,1.231e+02,2.018e+02,8.505e+01,1.602e+02,5.277e+01,1.630e+02,1.912e+02,1.957e+02,8.930e+01,3.382e+01,9.029e+01,1.194e+02,7.967e+01,1.129e+02,5.927e+01,1.427e+02,5.951e+01,1.915e+02,9.193e+01,1.889e+01,5.933e+01,1.574e+02,1.560e+02,7.577e+01,1.658e+02,2.257e+02,3.071e+01,7.574e+01,6.327e+01,4.641e+02,1.285e+02,3.072e+01,6.900e+01,1.053e+02,9.155e+01,2.920e+02,1.621e+02,1.712e+02,1.581e+02,1.442e+02,4.162e+02,5.600e+01,1.263e+02,8.276e+01,8.403e+01,3.326e+01
n10,1.676e+00,1.723e+00,1.181e+00,1.483e+00,2.381e+00,1.220e+00,2.614e+00,1.669e+00,1.658e+00,1.967e+00,1.908e+00,1.982e+00,1.586e+00,2.023e+00,1.712e+00,1.706e+00,2.043e+00,1.886e+00,1.393e+00,1.594e+00,2.149e+00,1.750e+00,1.870e+00,3.674e+00,2.090e+00,1.792e+00,3.461e+00,1.846e+00,2.530e+00,1.735e+00,2.407e+00,2.029e+00,1.677e+00,1.703e+00,2.674e+00,2.154e+00,1.862e+00,1.851e+00,1.755e+00,2.293e+00,2.150e+00,2.355e+00,1.745e+00,1.890e+00,2.040e+00,2.839e+00,2.299e+00,1.699e+00,1.754e+00,2.046e+00
p11,1.417e-04,1.840e-04,1.914e-04,2.284e-04,1.113e-04,1.180e-04,2.490e-04,2.110e-04,2.191e-04,9.997e-05,6.462e-05,9.681e-05,1.058e-04,4.306e-05,1.217e-04,1.471e-04,2.846e-04,1.293e-04,6.458e-05,1.640e-04,9.672e-05,9.041e-05,6.922e-05,1.748e-04,2.228e-04,2.026e-04,8.014e-05,1.647e-04,6.578e-05,1.113e-04,9.769e-05,1.214e-04,1.850e-04,3.933e-04,1.709e-04,1.223e-04,6.233e-05,1.465e-04,1.102e-04,1.031e-04,1.314e-04,1.339e-04,1.232e-04,8.708e-05,9.953e-05,9.929e-05,8.340e-05,9.855e-05,1.245e-04,9.337e-05
p12,2.127e-03,4.554e-03,5.698e-03,3.796e-03,2.243e-03,2.640e-03,2.486e-03,2.686e-03,3.270e-03,2.999e-03,4.957e-03,4.271e-03,2.767e-03,4.733e-03,7.894e-03,3.364e-03,4.412e-03,4.734e-03,3.828e-03,3.891e-03,3.531e-03,8.769e-03,3.641e-03,9.028e-03,5.935e-03,1.831e-03,3.337e-03,2.410e-03,4.323e-03,6.372e-03,2.815e-03,3.748e-03,6.157e-03,1.784e-03,2.293e-02,1.608e-03,4.004e-03,5.692e-03,6.235e-03,2.574e-02,5.706e-03,4.066e-03,9.954e-03,6.291e-03,2.168e-03,4.755e-03,7.022e-03,6.205e-03,3.178e-03,3.629e-03
